Setup sorting test array at 0x300: [5 3 8 3 1 8 5 2 1 6 3 8 5 2 1 6]
Loaded ROM: 3584 bytes
First instruction: 0x1471
Cycle 626: Executing 0x0000 at PC=0x1E6
Cycle 627: Executing 0x0000 at PC=0x1E8
Cycle 628: Executing 0x0000 at PC=0x1EA
Cycle 629: Executing 0x0000 at PC=0x1EC
Cycle 630: Executing 0x0000 at PC=0x1EE
Cycle 631: Executing 0x0000 at PC=0x1F0
Cycle 632: Executing 0x0000 at PC=0x1F2
Cycle 633: Executing 0x0000 at PC=0x1F4
Cycle 634: Executing 0x0000 at PC=0x1F6
Cycle 635: Executing 0x0000 at PC=0x1F8
Cycle 636: Executing 0x0000 at PC=0x1FA
Cycle 637: Executing 0x0000 at PC=0x1FC
Cycle 638: Executing 0x0000 at PC=0x1FE
Cycle 645: Executing 0x0000 at PC=0x1D2
Cycle 646: Executing 0x0000 at PC=0x1D4
Cycle 647: Executing 0x0000 at PC=0x1D6
Cycle 648: Executing 0x0000 at PC=0x1D8
Cycle 649: Executing 0x0000 at PC=0x1DA
Cycle 650: Executing 0x0000 at PC=0x1DC
Cycle 651: Executing 0x0000 at PC=0x1DE
Cycle 652: Executing 0x0000 at PC=0x1E0
Setup sorting test array at 0x300: [5 3 8 3 1 8 5 2]
Loaded ROM: 3584 bytes
First instruction: 0x1471
Cycle 1: Executing 0x1471 at PC=0x200
Cycle 2: Executing 0x169A at PC=0x471
Cycle 3: Executing 0x3667 at PC=0x69A
Cycle 4: Executing 0x6EF7 at PC=0x69C
Cycle 5: Executing 0x128C at PC=0x69E
