Setup sorting test array at 0x300: [ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
Loaded ROM: 3584 bytes
First instruction: 0xD2B1
Cycle 367: Executing 0x0000 at PC=0x1D5
Cycle 368: Executing 0x0000 at PC=0x1D7
Cycle 369: Executing 0x0000 at PC=0x1D9
Cycle 370: Executing 0x0000 at PC=0x1DB
Cycle 371: Executing 0x0000 at PC=0x1DD
Cycle 372: Executing 0x0000 at PC=0x1DF
Cycle 373: Executing 0x0000 at PC=0x1E1
Cycle 374: Executing 0x0000 at PC=0x1E3
Cycle 375: Executing 0x0000 at PC=0x1E5
Cycle 376: Executing 0x0000 at PC=0x1E7
Cycle 377: Executing 0x0000 at PC=0x1E9
Cycle 378: Executing 0x0000 at PC=0x1EB
Cycle 379: Executing 0x0000 at PC=0x1ED
Cycle 380: Executing 0x0000 at PC=0x1EF
Cycle 381: Executing 0x0000 at PC=0x1F1
Cycle 382: Executing 0x0000 at PC=0x1F3
Cycle 383: Executing 0x0000 at PC=0x1F5
Cycle 384: Executing 0x0000 at PC=0x1F7
Cycle 385: Executing 0x0000 at PC=0x1F9
Cycle 386: Executing 0x0000 at PC=0x1FB
Cycle 387: Executing 0x0000 at PC=0x1FD
Cycle 390: Executing 0x0000 at PC=0x1AF
Cycle 391: Executing 0x0000 at PC=0x1B1
Cycle 392: Executing 0x0000 at PC=0x1B3
Cycle 393: Executing 0x0000 at PC=0x1B5
Cycle 394: Executing 0x0000 at PC=0x1B7
Cycle 395: Executing 0x0000 at PC=0x1B9
Cycle 396: Executing 0x0000 at PC=0x1BB
Cycle 397: Executing 0x0000 at PC=0x1BD
Cycle 398: Executing 0x0000 at PC=0x1BF
Cycle 399: Executing 0x0000 at PC=0x1C1
Cycle 400: Executing 0x0000 at PC=0x1C3
Cycle 401: Executing 0x0000 at PC=0x1C5
Cycle 402: Executing 0x0000 at PC=0x1C7
Cycle 403: Executing 0x0000 at PC=0x1C9
Cycle 404: Executing 0x0000 at PC=0x1CB
Cycle 405: Executing 0x0000 at PC=0x1CD
Cycle 406: Executing 0x0000 at PC=0x1CF
Cycle 407: Executing 0x0000 at PC=0x1D1
Cycle 408: Executing 0x0000 at PC=0x1D3
Cycle 409: Executing 0x0000 at PC=0x1D5
Cycle 410: Executing 0x0000 at PC=0x1D7
Cycle 411: Executing 0x0000 at PC=0x1D9
Cycle 412: Executing 0x0000 at PC=0x1DB
Cycle 413: Executing 0x0000 at PC=0x1DD
Cycle 414: Executing 0x0000 at PC=0x1DF
Cycle 415: Executing 0x0000 at PC=0x1E1
Cycle 416: Executing 0x0000 at PC=0x1E3
Cycle 417: Executing 0x0000 at PC=0x1E5
Cycle 418: Executing 0x0000 at PC=0x1E7
Cycle 419: Executing 0x0000 at PC=0x1E9
Cycle 420: Executing 0x0000 at PC=0x1EB
Cycle 421: Executing 0x0000 at PC=0x1ED
Cycle 422: Executing 0x0000 at PC=0x1EF
Cycle 423: Executing 0x0000 at PC=0x1F1
Cycle 424: Executing 0x0000 at PC=0x1F3
Cycle 425: Executing 0x0000 at PC=0x1F5
Cycle 426: Executing 0x0000 at PC=0x1F7
Cycle 427: Executing 0x0000 at PC=0x1F9
